Item_Id,Nome,Preço,Moeda,Categoria,Marca,Quantidade,Link,Detalhes_Imagem,Descrição,Condicao,Estado
MLA1474169913,Amazon Fire Tv Stick Hd 2024 Control Por Voz Fhd Sicoaf,55199.08,ARS,MLA352001,840414697713,100,https://articulo.mercadolibre.com.ar/MLA-1474169913-amazon-fire-tv-stick-hd-2024-control-por-voz-fhd-sicoaf-_JM,http://http2.mlstatic.com/D_624585-MLA82186245531_012025-O.jpg,,new,Capital Federal
MLA1971319040,Amazon Fire Tv Stick 4k Max 16 Gb Wifi 6 Ultra Rápido Color Negro,112000.0,ARS,MLA352001,Fire Tv,1,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-max-16-gb-wifi-6-ultra-rapido-color-negro/p/MLA29525405#wid=MLA1971319040&sid=unknown,http://http2.mlstatic.com/D_759691-MLU73748474388_012024-I.jpg,,new,Capital Federal
MLA1985471482,Amazon Fire Tv Stick Hd 2024 Control Por Voz Smart Tv- Netfl,55199.0,ARS,MLA352001,840414697713,1,https://articulo.mercadolibre.com.ar/MLA-1985471482-amazon-fire-tv-stick-hd-2024-control-por-voz-smart-tv-netfl-_JM,http://http2.mlstatic.com/D_954509-MLA81363453954_122024-O.jpg,,new,Capital Federal
MLA1908528342,"Amazon Fire Tv Stick 4k Streaming, Con Alexa Voice Remote Color Negro",79199.0,ARS,MLA352001,Amazon,1,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-streaming-con-alexa-voice-remote-color-negro/p/MLA24025713#wid=MLA1908528342&sid=unknown,http://http2.mlstatic.com/D_752901-MLU70084963645_062023-I.jpg,,new,Capital Federal
MLA1369238847,Amazon Fire Tv Stick Lite Control De Voz Full Hd 8gb 1gb Ram,65999.12,ARS,MLA352001,Fire Tv Stick Amazon,1,https://articulo.mercadolibre.com.ar/MLA-1369238847-amazon-fire-tv-stick-lite-control-de-voz-full-hd-8gb-1gb-ram-_JM,http://http2.mlstatic.com/D_706612-MLA69348198947_052023-O.jpg,,new,Buenos Aires
MLA1996368090,Streaming Fire Tv Stick lite - Amazon - 1080p Fhd / Rom 8gb,62299.11,ARS,MLA352001,Amazon,100,https://www.mercadolibre.com.ar/streaming-fire-tv-sticklite-amazon-1080p-fhd-rom-8gb/p/MLA38413896#wid=MLA1996368090&sid=unknown,http://http2.mlstatic.com/D_749360-MLU77781180863_072024-I.jpg,,new,Capital Federal
MLA1464688935,Amazon Fire Tv Stick 8gb Wifi 5 1080p Hdr Alexa Version 2024,82313.99,ARS,MLA352001,FireTV HD,1,https://articulo.mercadolibre.com.ar/MLA-1464688935-amazon-fire-tv-stick-8gb-wifi-5-1080p-hdr-alexa-version-2024-_JM,http://http2.mlstatic.com/D_812486-MLA81042433986_122024-O.jpg,,new,Capital Federal
MLA1477750263,Amazon Fire Tv Stick Hd 4a Generación Con Comandos De Voz Negro 1gb Ram,59920.0,ARS,MLA352001,FireTV HD,1,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-hd-4a-generacion-con-comandos-de-voz-negro-1gb-ram/p/MLA44218605#wid=MLA1477750263&sid=unknown,http://http2.mlstatic.com/D_791224-MLA80794954280_112024-I.jpg,,new,Capital Federal
MLA1664943482,Amazon Tv Stick Fire Tv Stick 4k Max K2r2te De Voz 1.ª Generación 4k 8gb Negro Con 2gb De Memoria Ram,100540.0,ARS,MLA352001,K2R2TE,1,https://www.mercadolibre.com.ar/amazon-tv-stick-fire-tv-stick-4k-max-k2r2te-de-voz-1-generacion-4k-8gb-negro-con-2gb-de-memoria-ram/p/MLA22384784#wid=MLA1664943482&sid=unknown,http://http2.mlstatic.com/D_940832-MLU73213842177_122023-I.jpg,,new,Capital Federal
MLA1856299014,Amazon Fire Tv Stick 4k De Voz 2ª Generación 4k 8gb Negro1 Con 1.5gb De Memoria Ram,90240.0,ARS,MLA352001,Amazon,1,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-de-voz-2-generacion-4k-8gb-negro1-con-15gb-de-memoria-ram/p/MLA14141341#wid=MLA1856299014&sid=unknown,http://http2.mlstatic.com/D_971919-MLA74652650842_022024-I.jpg,,new,Capital Federal
MLA1975526012,Amazon Fire Tv Stick Hd 2024 Control De Voz 8gh Wifi 5 Nuevo,78989.73,ARS,MLA352001,840414697713,1,https://articulo.mercadolibre.com.ar/MLA-1975526012-amazon-fire-tv-stick-hd-2024-control-de-voz-8gh-wifi-5-nuevo-_JM,http://http2.mlstatic.com/D_647351-MLA81093713960_122024-O.jpg,,new,Capital Federal
MLA1441306967,Amazon Convertidor Fire Tv Stick Lite Alexa Voice Smart Tv,136491.25,ARS,MLA352001,B091G4YP57,1,https://articulo.mercadolibre.com.ar/MLA-1441306967-amazon-convertidor-fire-tv-stick-lite-alexa-voice-smart-tv-_JM,http://http2.mlstatic.com/D_925621-MLA78198477573_082024-O.jpg,,new,Capital Federal
